user_id,profile_vector_id,name,gender,age,height_cm,religion,caste,marital_status,diet,city,state,education,income,occupation,hobby_1,hobby_2,hobby_3,about_me,preferred_gender,preferred_age_min,preferred_age_max,preferred_height_min,preferred_height_max,preferred_religion,preferred_caste,preferred_city,preferred_state,preferred_education,preferred_income
18,VEC_18,Ranveer Mall,Male,39,185,Hindu,Sc,Divorced,Veg,Pune,Maharashtra,3,2,Business,Movies,Painting,Football,Career Focused With Strong Values.,Female,35,45,175,195,Sikh,Obc,Kozhikode,Maharashtra,Diploma,5-10 Lpa
19,VEC_19,Rajata Gaba,Female,44,171,Muslim,Sc,Single,Eggetarian,Kottayam,Kerala,1,4,Software Engineer,Football,Painting,Swimming,Enjoy Spending Time With Family.,Male,41,47,161,181,Sikh,Sc,Chennai,Maharashtra,Diploma,5-10 Lpa
20,VEC_20,Peter Kadakia,Male,33,171,Christian,St,Widowed,Eggetarian,Panaji,Goa,3,1,Doctor,Cooking,Music,Football,Passionate About Learning.,Female,30,39,161,181,Christian,General,Kottayam,Delhi,Master,10-15 Lpa
21,VEC_21,Bimala Garg,Female,33,186,Sikh,General,Widowed,Eggetarian,Hyderabad,Telangana,2,3,Lawyer,Travel,Cooking,Reading,Career Focused With Strong Values.,Male,29,39,176,196,Christian,General,Mumbai,Karnataka,Phd,10-15 Lpa
22,VEC_22,Gautami Shere,Female,43,168,Sikh,St,Widowed,Eggetarian,Mangalore,Karnataka,2,5,Government Employee,Chess,Movies,Travel,Passionate About Learning.,Male,38,49,158,178,Hindu,Sc,Chennai,Tamil Nadu,Master,25-40 Lpa
23,VEC_23,Lopa Kanda,Female,35,163,Hindu,Sc,Widowed,Eggetarian,Hyderabad,Telangana,5,3,Doctor,Chess,Photography,Movies,Looking For A Caring Partner.,Male,31,38,153,173,Muslim,Obc,Kochi,Kerala,Diploma,15-25 Lpa
24,VEC_24,Ayaan Karnik,Male,41,186,Sikh,St,Single,Veg,Hyderabad,Telangana,1,1,Lawyer,Travel,Cricket,Painting,Looking For A Caring Partner.,Female,38,47,176,196,Sikh,General,Hyderabad,Tamil Nadu,Higher Secondary,15-25 Lpa
25,VEC_25,Nakul Rattan,Male,42,183,Sikh,St,Widowed,Non-Veg,Pune,Maharashtra,2,6,Accountant,Chess,Yoga,Cycling,Enjoy Spending Time With Family.,Female,38,45,173,193,Christian,St,Panaji,Tamil Nadu,Bachelor,15-25 Lpa
26,VEC_26,Bachittar Kakar,Male,28,167,Hindu,Obc,Single,Veg,Panaji,Goa,4,6,Teacher,Cycling,Football,Chess,Looking For A Caring Partner.,Female,26,33,157,177,Sikh,Sc,Hyderabad,Telangana,Master,3-5 Lpa
27,VEC_27,Hitesh Tata,Male,33,187,Sikh,St,Single,Non-Veg,Pune,Maharashtra,3,4,Lawyer,Cricket,Reading,Yoga,Looking For A Caring Partner.,Female,28,36,177,197,Christian,St,Mangalore,Kerala,Master,10-15 Lpa
28,VEC_28,Vasudha Dhar,Female,35,158,Sikh,General,Single,Eggetarian,Panaji,Goa,4,2,Accountant,Yoga,Chess,Reading,Love Travelling And Exploring.,Male,33,39,148,168,Sikh,Sc,Kozhikode,Telangana,Bachelor,10-15 Lpa
29,VEC_29,Ekiya Koshy,Female,29,155,Hindu,Sc,Single,Eggetarian,Mangalore,Karnataka,1,6,Software Engineer,Photography,Reading,Chess,Simple And Family Oriented.,Male,26,32,145,165,Hindu,Obc,Kozhikode,Tamil Nadu,Master,40+ Lpa
30,VEC_30,Tanish Rastogi,Male,35,166,Jain,General,Single,Non-Veg,Delhi,Delhi,1,5,Software Engineer,Football,Cycling,Movies,Passionate About Learning.,Female,30,40,156,176,Muslim,General,Delhi,Goa,Diploma,3-5 Lpa
31,VEC_31,Januja Devi,Female,39,152,Christian,General,Widowed,Eggetarian,Mumbai,Maharashtra,3,1,Lawyer,Cycling,Chess,Painting,Enjoy Spending Time With Family.,Male,37,44,145,162,Christian,St,Mumbai,Tamil Nadu,Master,5-10 Lpa
32,VEC_32,Chandani Batta,Female,35,177,Christian,Obc,Single,Non-Veg,Delhi,Delhi,4,2,Accountant,Cricket,Yoga,Cooking,Love Books And Technology.,Male,31,37,167,187,Sikh,Sc,Kannur,Telangana,Diploma,10-15 Lpa
33,VEC_33,Ganga Dutta,Female,40,167,Muslim,General,Single,Eggetarian,Mangalore,Karnataka,4,4,Professor,Chess,Reading,Football,Looking For A Caring Partner.,Male,35,45,157,177,Sikh,General,Kottayam,Karnataka,Diploma,15-25 Lpa
34,VEC_34,Azad Rajan,Male,36,185,Jain,Sc,Divorced,Eggetarian,Mangalore,Karnataka,4,3,Data Analyst,Chess,Cycling,Painting,Passionate About Learning.,Female,33,38,175,195,Muslim,Sc,Kottayam,Goa,Phd,40+ Lpa
35,VEC_35,Vivaan Wadhwa,Male,44,180,Jain,Sc,Single,Veg,Chennai,Tamil Nadu,3,2,Data Scientist,Cooking,Cricket,Yoga,Love Travelling And Exploring.,Female,40,46,170,190,Jain,Obc,Chennai,Kerala,Higher Secondary,25-40 Lpa
36,VEC_36,Aashi Contractor,Female,41,181,Christian,St,Divorced,Non-Veg,Panaji,Goa,3,2,Software Engineer,Music,Reading,Yoga,Passionate About Learning.,Male,36,43,171,191,Hindu,St,Mangalore,Kerala,Phd,40+ Lpa
37,VEC_37,Onkar Choudhury,Male,39,169,Jain,St,Widowed,Eggetarian,Chennai,Tamil Nadu,5,2,Professor,Music,Travel,Football,Love Books And Technology.,Female,34,44,159,179,Christian,St,Chennai,Delhi,Phd,3-5 Lpa
38,VEC_38,Teerth Dugar,Male,41,163,Muslim,Obc,Single,Eggetarian,Mumbai,Maharashtra,1,2,Software Engineer,Cooking,Swimming,Music,Love Books And Technology.,Female,36,47,153,173,Sikh,Sc,Kochi,Tamil Nadu,Bachelor,40+ Lpa
39,VEC_39,Aadhya Lall,Female,23,164,Muslim,St,Single,Eggetarian,Panaji,Goa,2,6,Teacher,Cooking,Swimming,Yoga,Passionate About Learning.,Male,21,25,154,174,Hindu,Obc,Pune,Karnataka,Phd,40+ Lpa
40,VEC_40,Yashica Cherian,Female,35,169,Jain,St,Divorced,Veg,Hyderabad,Telangana,5,1,Lawyer,Cricket,Painting,Cooking,Friendly And Optimistic.,Male,31,37,159,179,Hindu,Obc,Panaji,Maharashtra,Phd,25-40 Lpa
41,VEC_41,Zehaan Issac,Male,39,152,Jain,St,Divorced,Veg,Pune,Maharashtra,5,4,Accountant,Football,Movies,Photography,Career Focused With Strong Values.,Female,34,43,145,162,Sikh,Sc,Coimbatore,Goa,Higher Secondary,5-10 Lpa
42,VEC_42,Ridhi Edwin,Female,30,175,Sikh,General,Divorced,Non-Veg,Hyderabad,Telangana,3,1,Lawyer,Football,Chess,Reading,Simple And Family Oriented.,Male,25,35,165,185,Hindu,Obc,Hyderabad,Karnataka,Phd,15-25 Lpa
43,VEC_43,Ojasvi Suresh,Female,27,167,Sikh,St,Single,Veg,Mumbai,Maharashtra,5,2,Teacher,Chess,Movies,Cooking,Passionate About Learning.,Male,25,33,157,177,Sikh,General,Kozhikode,Maharashtra,Higher Secondary,15-25 Lpa
44,VEC_44,Daksh Patil,Male,36,168,Sikh,St,Divorced,Veg,Panaji,Goa,4,5,Teacher,Chess,Cricket,Cooking,Love Books And Technology.,Female,33,42,158,178,Jain,Obc,Kottayam,Karnataka,Master,10-15 Lpa
45,VEC_45,Kashvi Bhardwaj,Female,30,169,Sikh,Obc,Divorced,Eggetarian,Mumbai,Maharashtra,4,3,Data Scientist,Yoga,Football,Swimming,Love Books And Technology.,Male,25,34,159,179,Muslim,Obc,Delhi,Telangana,Diploma,15-25 Lpa
46,VEC_46,Balveer Chada,Male,43,174,Muslim,St,Single,Veg,Mangalore,Karnataka,5,5,Data Scientist,Painting,Swimming,Cricket,Career Focused With Strong Values.,Female,38,45,164,184,Jain,St,Kochi,Goa,Diploma,15-25 Lpa
47,VEC_47,Bakhshi Walia,Male,29,171,Hindu,Sc,Widowed,Eggetarian,Kozhikode,Kerala,4,3,Accountant,Yoga,Cricket,Painting,Simple And Family Oriented.,Female,27,32,161,181,Christian,Obc,Mumbai,Kerala,Master,3-5 Lpa
48,VEC_48,Devansh Soman,Male,43,169,Hindu,Sc,Divorced,Non-Veg,Hyderabad,Telangana,4,2,Business,Reading,Football,Cycling,Love Books And Technology.,Female,40,46,159,179,Muslim,General,Delhi,Maharashtra,Master,25-40 Lpa
49,VEC_49,Kevin Wable,Male,28,179,Christian,General,Divorced,Non-Veg,Hyderabad,Telangana,5,2,Doctor,Swimming,Cooking,Photography,Enjoy Spending Time With Family.,Female,24,34,169,189,Christian,St,Mumbai,Karnataka,Master,10-15 Lpa
50,VEC_50,Hitesh Zacharia,Male,24,165,Jain,Sc,Widowed,Non-Veg,Hyderabad,Telangana,1,6,Lawyer,Painting,Yoga,Cycling,Passionate About Learning.,Female,22,30,155,175,Hindu,St,Chennai,Maharashtra,Diploma,25-40 Lpa
51,VEC_51,Nimrat Rastogi,Female,40,166,Muslim,General,Widowed,Eggetarian,Chennai,Tamil Nadu,1,3,Accountant,Swimming,Cricket,Football,Simple And Family Oriented.,Male,36,43,156,176,Hindu,Sc,Coimbatore,Goa,Master,5-10 Lpa
52,VEC_52,Theodore Varughese,Male,37,182,Sikh,Sc,Widowed,Non-Veg,Coimbatore,Tamil Nadu,1,4,Doctor,Cooking,Movies,Football,Love Travelling And Exploring.,Female,34,42,172,192,Jain,Sc,Kottayam,Maharashtra,Master,3-5 Lpa
53,VEC_53,Dipta Kota,Female,35,173,Christian,St,Widowed,Non-Veg,Delhi,Delhi,1,6,Business,Swimming,Cricket,Football,Enjoy Spending Time With Family.,Male,33,41,163,183,Jain,Sc,Delhi,Tamil Nadu,Higher Secondary,40+ Lpa
54,VEC_54,Bhavika Nigam,Female,41,176,Hindu,Sc,Divorced,Veg,Panaji,Goa,1,2,Professor,Music,Movies,Reading,Love Travelling And Exploring.,Male,36,46,166,186,Christian,St,Delhi,Goa,Diploma,15-25 Lpa
55,VEC_55,Ishwar Kannan,Male,40,176,Muslim,St,Divorced,Veg,Pune,Maharashtra,3,1,Data Scientist,Cooking,Reading,Cycling,Friendly And Optimistic.,Female,38,45,166,186,Christian,Obc,Kottayam,Maharashtra,Master,3-5 Lpa
56,VEC_56,Balendra Bhargava,Male,22,171,Muslim,General,Widowed,Veg,Panaji,Goa,5,2,Business,Travel,Movies,Yoga,Friendly And Optimistic.,Female,21,28,161,181,Hindu,Sc,Kannur,Tamil Nadu,Phd,10-15 Lpa
57,VEC_57,Bahadurjit Balay,Male,25,150,Christian,General,Single,Non-Veg,Kochi,Kerala,1,2,Lawyer,Cycling,Travel,Yoga,Career Focused With Strong Values.,Female,23,30,145,160,Sikh,Sc,Hyderabad,Delhi,Higher Secondary,15-25 Lpa
58,VEC_58,Balendra Varkey,Male,44,183,Hindu,General,Divorced,Non-Veg,Delhi,Delhi,4,6,Doctor,Cooking,Photography,Swimming,Enjoy Spending Time With Family.,Female,39,46,173,193,Hindu,Sc,Delhi,Tamil Nadu,Higher Secondary,5-10 Lpa
59,VEC_59,Maya Sunder,Female,33,188,Jain,St,Single,Eggetarian,Delhi,Delhi,1,6,Professor,Chess,Cooking,Photography,Looking For A Caring Partner.,Male,28,38,178,198,Muslim,St,Coimbatore,Maharashtra,Master,15-25 Lpa
60,VEC_60,Ekaja Solanki,Female,31,177,Christian,Obc,Widowed,Non-Veg,Panaji,Goa,1,1,Doctor,Cycling,Swimming,Cooking,Career Focused With Strong Values.,Male,26,33,167,187,Christian,Obc,Hyderabad,Kerala,Phd,25-40 Lpa
61,VEC_61,Vritti Ray,Female,34,172,Christian,Sc,Divorced,Veg,Panaji,Goa,5,5,Business,Swimming,Painting,Reading,Love Travelling And Exploring.,Male,29,37,162,182,Hindu,Sc,Hyderabad,Karnataka,Higher Secondary,10-15 Lpa
62,VEC_62,Champak Chatterjee,Male,38,189,Jain,General,Widowed,Eggetarian,Pune,Maharashtra,3,1,Teacher,Yoga,Swimming,Cricket,Passionate About Learning.,Female,34,42,179,199,Christian,General,Kannur,Maharashtra,Diploma,25-40 Lpa
63,VEC_63,Raagini Sampath,Female,44,190,Muslim,St,Divorced,Non-Veg,Kottayam,Kerala,3,2,Data Scientist,Reading,Music,Chess,Passionate About Learning.,Male,40,50,180,200,Jain,General,Kochi,Tamil Nadu,Diploma,25-40 Lpa
64,VEC_64,Vivaan Bhagat,Male,29,178,Jain,St,Divorced,Non-Veg,Panaji,Goa,2,5,Doctor,Swimming,Painting,Photography,Friendly And Optimistic.,Female,24,31,168,188,Christian,St,Hyderabad,Goa,Bachelor,3-5 Lpa
65,VEC_65,Azaan Rau,Male,21,163,Christian,Sc,Divorced,Veg,Hyderabad,Telangana,1,4,Lawyer,Cooking,Travel,Movies,Love Travelling And Exploring.,Female,21,26,153,173,Jain,Obc,Hyderabad,Delhi,Bachelor,3-5 Lpa
66,VEC_66,Darika Kothari,Female,34,151,Jain,St,Widowed,Non-Veg,Mumbai,Maharashtra,4,3,Doctor,Photography,Music,Cycling,Love Books And Technology.,Male,32,38,145,161,Muslim,St,Mumbai,Karnataka,Higher Secondary,15-25 Lpa
67,VEC_67,Girish Yadav,Male,39,175,Christian,Sc,Single,Non-Veg,Coimbatore,Tamil Nadu,2,1,Professor,Chess,Music,Painting,Career Focused With Strong Values.,Female,36,43,165,185,Christian,Obc,Kozhikode,Kerala,Diploma,10-15 Lpa
68,VEC_68,Ekaraj Sami,Male,45,154,Sikh,St,Widowed,Eggetarian,Chennai,Tamil Nadu,5,3,Data Scientist,Movies,Swimming,Photography,Love Travelling And Exploring.,Female,40,47,145,164,Sikh,St,Panaji,Karnataka,Bachelor,25-40 Lpa
69,VEC_69,Liam Shere,Male,30,179,Christian,Sc,Single,Eggetarian,Bengaluru,Karnataka,1,5,Government Employee,Photography,Reading,Cricket,Love Books And Technology.,Female,25,36,169,189,Jain,General,Mangalore,Maharashtra,Phd,40+ Lpa
70,VEC_70,Baljiwan Savant,Male,37,159,Christian,General,Widowed,Eggetarian,Mangalore,Karnataka,2,1,Business,Reading,Photography,Music,Enjoy Spending Time With Family.,Female,32,43,149,169,Jain,Obc,Coimbatore,Karnataka,Bachelor,15-25 Lpa
71,VEC_71,Arya Zachariah,Female,42,188,Christian,General,Divorced,Veg,Pune,Maharashtra,5,6,Lawyer,Reading,Swimming,Cricket,Passionate About Learning.,Male,38,48,178,198,Muslim,Sc,Kottayam,Delhi,Diploma,10-15 Lpa
72,VEC_72,Charita Khalsa,Female,25,188,Jain,St,Widowed,Non-Veg,Panaji,Goa,2,6,Professor,Cricket,Music,Cooking,Career Focused With Strong Values.,Male,21,31,178,198,Christian,General,Coimbatore,Karnataka,Diploma,5-10 Lpa
73,VEC_73,Tanvi Sunder,Female,27,164,Christian,General,Widowed,Eggetarian,Pune,Maharashtra,5,1,Data Scientist,Movies,Football,Music,Love Travelling And Exploring.,Male,22,30,154,174,Muslim,Obc,Mumbai,Maharashtra,Phd,5-10 Lpa
74,VEC_74,Jalsa Rattan,Female,32,165,Sikh,Obc,Widowed,Veg,Kozhikode,Kerala,3,4,Business,Photography,Yoga,Cooking,Friendly And Optimistic.,Male,27,37,155,175,Christian,St,Hyderabad,Delhi,Master,5-10 Lpa
75,VEC_75,Fitan Raghavan,Male,29,153,Jain,General,Widowed,Eggetarian,Mumbai,Maharashtra,1,3,Doctor,Swimming,Photography,Cycling,Love Travelling And Exploring.,Female,25,34,145,163,Jain,Obc,Bengaluru,Kerala,Diploma,15-25 Lpa
76,VEC_76,Saumya Lanka,Female,22,175,Sikh,General,Divorced,Veg,Kozhikode,Kerala,1,3,Doctor,Chess,Cycling,Travel,Friendly And Optimistic.,Male,21,25,165,185,Hindu,Sc,Mangalore,Goa,Diploma,40+ Lpa
77,VEC_77,Mekhala Sampath,Female,23,151,Jain,St,Single,Non-Veg,Hyderabad,Telangana,2,3,Doctor,Cooking,Travel,Movies,Simple And Family Oriented.,Male,21,28,145,161,Jain,St,Kottayam,Kerala,Master,25-40 Lpa
78,VEC_78,Faras Gupta,Male,43,159,Jain,Sc,Single,Eggetarian,Panaji,Goa,4,2,Doctor,Cooking,Painting,Reading,Friendly And Optimistic.,Female,41,49,149,169,Jain,General,Bengaluru,Maharashtra,Master,3-5 Lpa
79,VEC_79,Janani Bhardwaj,Female,44,151,Muslim,General,Widowed,Eggetarian,Mangalore,Karnataka,3,2,Software Engineer,Cycling,Music,Football,Friendly And Optimistic.,Male,40,47,145,161,Sikh,St,Panaji,Tamil Nadu,Diploma,3-5 Lpa
80,VEC_80,Nirja Bhandari,Female,27,152,Christian,Sc,Widowed,Non-Veg,Kannur,Kerala,5,4,Data Analyst,Football,Travel,Reading,Simple And Family Oriented.,Male,24,31,145,162,Christian,General,Panaji,Karnataka,Bachelor,3-5 Lpa
81,VEC_81,Waida Thakkar,Female,44,178,Sikh,St,Divorced,Eggetarian,Hyderabad,Telangana,3,1,Lawyer,Painting,Cycling,Movies,Career Focused With Strong Values.,Male,39,50,168,188,Muslim,Sc,Coimbatore,Kerala,Higher Secondary,10-15 Lpa
82,VEC_82,Barkha Trivedi,Female,40,177,Christian,St,Single,Eggetarian,Mangalore,Karnataka,3,5,Lawyer,Movies,Cricket,Photography,Passionate About Learning.,Male,38,42,167,187,Sikh,Sc,Hyderabad,Maharashtra,Diploma,3-5 Lpa
83,VEC_83,Girik Biswas,Male,22,158,Christian,Sc,Divorced,Eggetarian,Pune,Maharashtra,1,5,Teacher,Music,Travel,Swimming,Enjoy Spending Time With Family.,Female,21,26,148,168,Sikh,General,Delhi,Tamil Nadu,Phd,10-15 Lpa
84,VEC_84,Kamya Raval,Female,28,157,Sikh,St,Widowed,Veg,Mangalore,Karnataka,3,3,Accountant,Reading,Cricket,Movies,Looking For A Caring Partner.,Male,24,33,147,167,Muslim,General,Kannur,Maharashtra,Higher Secondary,15-25 Lpa
85,VEC_85,Jatin Baral,Male,23,170,Jain,Sc,Divorced,Veg,Panaji,Goa,2,3,Professor,Swimming,Cycling,Music,Looking For A Caring Partner.,Female,21,26,160,180,Muslim,Obc,Pune,Telangana,Higher Secondary,10-15 Lpa
86,VEC_86,Ubika Virk,Female,40,155,Sikh,St,Divorced,Eggetarian,Hyderabad,Telangana,1,2,Data Scientist,Music,Cooking,Painting,Career Focused With Strong Values.,Male,35,45,145,165,Jain,Sc,Kannur,Maharashtra,Phd,40+ Lpa
87,VEC_87,Kalpit Jayaraman,Male,34,182,Muslim,Sc,Single,Veg,Mumbai,Maharashtra,3,6,Business,Reading,Music,Chess,Friendly And Optimistic.,Female,30,36,172,192,Christian,Obc,Panaji,Delhi,Bachelor,5-10 Lpa
88,VEC_88,Kashvi Lanka,Female,37,160,Muslim,Sc,Widowed,Veg,Delhi,Delhi,1,1,Software Engineer,Yoga,Football,Movies,Passionate About Learning.,Male,34,43,150,170,Sikh,General,Mangalore,Goa,Phd,10-15 Lpa
89,VEC_89,Ekaja Mital,Female,42,175,Hindu,Obc,Divorced,Non-Veg,Hyderabad,Telangana,4,4,Business,Cooking,Photography,Music,Friendly And Optimistic.,Male,39,46,165,185,Christian,Sc,Bengaluru,Tamil Nadu,Bachelor,25-40 Lpa
90,VEC_90,Nakul Bora,Male,35,157,Muslim,General,Single,Non-Veg,Bengaluru,Karnataka,4,5,Lawyer,Cooking,Photography,Travel,Looking For A Caring Partner.,Female,32,39,147,167,Jain,Sc,Kozhikode,Maharashtra,Diploma,15-25 Lpa
91,VEC_91,Vasudha Chaudhry,Female,36,151,Sikh,Obc,Single,Eggetarian,Hyderabad,Telangana,3,1,Software Engineer,Music,Painting,Chess,Passionate About Learning.,Male,31,42,145,161,Sikh,Sc,Hyderabad,Kerala,Higher Secondary,15-25 Lpa
92,VEC_92,Hredhaan Toor,Male,45,175,Hindu,Obc,Divorced,Eggetarian,Mangalore,Karnataka,3,1,Lawyer,Cycling,Reading,Painting,Enjoy Spending Time With Family.,Female,41,50,165,185,Jain,General,Kannur,Kerala,Master,10-15 Lpa
93,VEC_93,Ekaja Palla,Female,45,159,Sikh,General,Single,Veg,Delhi,Delhi,2,6,Data Scientist,Travel,Yoga,Chess,Enjoy Spending Time With Family.,Male,40,48,149,169,Jain,Obc,Coimbatore,Delhi,Bachelor,5-10 Lpa
94,VEC_94,Krisha Pingle,Female,39,171,Sikh,Sc,Divorced,Veg,Delhi,Delhi,3,3,Doctor,Chess,Football,Cricket,Love Books And Technology.,Male,35,41,161,181,Jain,St,Chennai,Goa,Phd,25-40 Lpa
95,VEC_95,Farhan Sarma,Male,39,180,Jain,St,Single,Eggetarian,Panaji,Goa,2,1,Government Employee,Movies,Chess,Swimming,Career Focused With Strong Values.,Female,36,41,170,190,Sikh,Sc,Bengaluru,Tamil Nadu,Master,40+ Lpa
96,VEC_96,Aayush Mistry,Male,44,153,Muslim,Sc,Widowed,Non-Veg,Hyderabad,Telangana,5,4,Data Scientist,Cricket,Movies,Chess,Love Travelling And Exploring.,Female,39,50,145,163,Christian,Sc,Panaji,Maharashtra,Bachelor,25-40 Lpa
97,VEC_97,Ekani Lalla,Female,29,185,Christian,Obc,Widowed,Eggetarian,Chennai,Tamil Nadu,4,3,Accountant,Cooking,Travel,Football,Friendly And Optimistic.,Male,25,33,175,195,Hindu,St,Bengaluru,Maharashtra,Bachelor,5-10 Lpa
98,VEC_98,Damyanti Dugal,Female,43,155,Christian,St,Single,Veg,Kannur,Kerala,5,3,Professor,Cycling,Photography,Swimming,Passionate About Learning.,Male,40,45,145,165,Jain,Obc,Kozhikode,Kerala,Phd,5-10 Lpa
99,VEC_99,Lohit Kade,Male,34,171,Muslim,General,Widowed,Veg,Kochi,Kerala,4,6,Accountant,Cricket,Photography,Music,Enjoy Spending Time With Family.,Female,31,38,161,181,Christian,Sc,Panaji,Kerala,Higher Secondary,40+ Lpa
100,VEC_100,Harsh Lalla,Male,26,176,Sikh,Obc,Widowed,Non-Veg,Delhi,Delhi,1,1,Data Analyst,Movies,Reading,Painting,Career Focused With Strong Values.,Female,22,30,166,186,Sikh,St,Kannur,Maharashtra,Phd,15-25 Lpa
101,VEC_101,Ladli Behl,Female,31,160,Christian,Obc,Single,Eggetarian,Chennai,Tamil Nadu,3,3,Government Employee,Cricket,Photography,Swimming,Looking For A Caring Partner.,Male,28,37,150,170,Sikh,St,Hyderabad,Karnataka,Higher Secondary,15-25 Lpa
102,VEC_102,Siddharth Malhotra,Male,36,170,Sikh,Obc,Divorced,Non-Veg,Chennai,Tamil Nadu,3,3,Government Employee,Travel,Reading,Cooking,Simple And Family Oriented.,Female,32,40,160,180,Muslim,General,Panaji,Kerala,Master,10-15 Lpa
103,VEC_103,Aarav Nath,Male,43,157,Jain,Obc,Single,Veg,Hyderabad,Telangana,4,2,Accountant,Swimming,Cooking,Cycling,Friendly And Optimistic.,Female,38,49,147,167,Sikh,Obc,Pune,Tamil Nadu,Phd,3-5 Lpa
